ID,SMILES,AV_Bit,AV
Ligand144,FC(c1cccc(C2(CCN(CC2)CCCC(=O)c2ccc(cc2)F)O)c1)(F)F,1,-4.759394147
Ligand145,NC(=O)C1=C([C@H]([C@@H]2C[C@@H]3Cc4cccc(O)c4C(=O)C3=C(O)[C@]2(O)C1=O)N(C)C)O,1,-4.750890639
Ligand146,Cc1c2[nH]c3c(cccc3)c2c(c2cnccc12)C,1,-4.748800846
Ligand147,COc1cc2C(=O)C(CC3CCN(CC3)Cc3ccccc3)Cc2cc1OC,1,-4.741207988999999
Ligand149,CN(Cc1cccc2ccccc12)Cc1ccc(C(C)(C)C)cc1,1,-4.73483547
Ligand150,Brc1c(c2c(c(Br)c1Br)nc[nH]2)Br,1,-4.728332309
Ligand151,O=[N+](c1ccc(/C=N/NC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2O)o1)[O-],1,-4.727520078
Ligand152,COc1c(c2c[n+](C)c3c(ccc4cc5c(cc34)OCO5)c2cc1)OC,1,-4.7204682469999995
Ligand153,O=C1C=C2CC[C@@H]3[C@@]([C@H](C[C@]4(C)[C@](C(=O)COC(=O)c5ccncc5)(O)[C@H](C)C[C@@H]34)O)(F)[C@]2(C=C1)C,1,-4.716527168
Ligand154,CC(CCCC(N)C)C,1,-4.716088361000001
Ligand155,Oc1ccc(cc1O)CCN,1,-4.704482072
Ligand156,O=C([C@H](Cc1cc(c(c(I)c1)Oc1cc(c(c(I)c1)O)I)I)N)O,1,-4.694723327
Ligand158,CC(c1ccc([S+](=O)(/C=C/C#N)[O-])cc1)(C)C,1,-4.6888315810000005
Ligand159,NC(=O)C1=C([C@H]([C@H]2[C@@](C1=O)(C(=C1C(=O)c3c([C@@H](O)[C@H]1C2)c(ccc3O)Cl)O)O)N(C)C)O,1,-4.687874902
Ligand160,CNCCCC12CCC(c3ccccc13)c1ccccc21,1,-4.681654048
Ligand161,COc1cc(C(=O)OCCCCN(C(Cc2ccc(cc2)OC)C)CC)ccc1OC,1,-4.679855833
Ligand162,COc1c(cccc1)CNCCCCCCNCCCCCCCCNCCCCCCNCc1c(cccc1)OC,1,-4.677733556000001
Ligand163,CC(C12CC3CC(CC(C3)C1)C2)N,1,-4.672536766
Ligand164,Cc1c(c(=O)n2ccccc2n1)CCN1CCC(C(=O)c2ccc(cc2)F)CC1,1,-4.655076385
Ligand165,CCCN1CCc2cccc3c4c(O)c(ccc4C[C@@H]1c23)O,1,-4.6488061919999994
Ligand166,Oc1ccc(cc1O)C[C@@H](C(=O)OC)N,1,-4.648220656
Ligand167,NC(=O)CNCCC(c1ccccc1)c1ccccc1,1,-4.64812032
Ligand168,NC(=N)N/N=C/c1c(cccc1Cl)Cl,1,-4.644159992
Ligand169,O=C(c1ccc(cc1)C=O)NC(C)C,1,-4.643317745
Ligand170,NNc1nncc2ccccc12,1,-4.640164518
Ligand171,Cc1cc(n(c(=O)c1)O)C1CCCCC1,1,-4.6391042
Ligand172,C/C/1=C/CC[C@]2(O[C@@H]2[C@H]2OC(=O)C(=C)[C@@H]2CC1)C,1,-4.638575294
Ligand173,Oc1ccc(cc1)OC,1,-4.637211346
Ligand174,CC(c1c(c(c(c2c(c(c3c(c4c(c(c(c(C(C)C)c4cc3C)O)O)C=O)O)c(cc12)C)O)C=O)O)O)C,1,-4.634873585
Ligand175,OCC(=O)[C@]12OC(O[C@@H]2C[C@@H]2[C@@]1(C[C@@H]([C@H]1[C@H]2C[C@@H](C2=CC(=O)CC[C@]12C)F)O)C)(C)C,1,-4.631445349
Ligand176,CN1CCc2c3c(ccc2)c2c(O)c(ccc2CC13)O,1,-4.6308967580000004
Ligand177,CC(CC(=O)OCC(=O)[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C)O)(C)C,1,-4.629131386
Ligand178,Clc1ccc(cc1)Cn1c(CN2CCCC2)nc2ccccc12,1,-4.628988637
Ligand179,O=C1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,-4.62497319
Ligand180,Oc1ccc(cc1O)C[C@@](C(=O)OCC)(N)C,1,-4.622602382
Ligand181,CC[C@H]1C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]2(C)[C@H]1O,1,-4.62132956
Ligand182,O=C1OC(=O)[C@@]2(C3CCC(O3)[C@]12C)C,1,-4.619708222
Ligand183,CCN(CCNc1ccc(c2sc3ccccc3c(=O)c12)CO)CC,1,-4.619413419
Ligand184,OCC(=O)[C@]1(C[C@@H](c2c(c3C(=O)c4c(cccc4C(=O)c3c(O)c2C1)OC)O)O[C@H]1C[C@@H]([C@@H]([C@H](C)O1)O)N)O,1,-4.61846706
Ligand186,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,1,-4.613073211000001
Ligand187,Cc1nc(cc(OC)n1)NS(=O)(=O)c1ccc(cc1)N,1,-4.612109653
Ligand188,Clc1nc(c(nc1Cl)N)C(=O)OC,1,-4.600544692
Ligand189,Oc1c(cc(c2cccnc12)Br)Br,1,-4.597498111
Ligand190,CCCC(c1ccccc1)(c1ccccc1)C(=O)OCCN(CC)CC,1,-4.5964700789999995
Ligand192,Clc1ccc2CCc3ccccc3N(CCCN3CCC4(C(=O)NC5CCCCN45)CC3)c2c1,1,-4.589436711
Ligand193,COc1c(cc2c(nc(N3CCCN(CC3)C)nc2c1)NC1CCN(CC1)Cc1ccccc1)OC,1,-4.5866078869999996
Ligand194,O=c1[nH]c2ccccc2n1C1CCN(CC2(OCc3ccccc3n3cccc23)C)CC1,1,-4.585712694
Ligand195,CN1CCC(=C2c3ccccc3CCc3sccc23)CC1,1,-4.581412931
Ligand196,Oc1ccc2ccccc2c1SSc1c2ccccc2ccc1O,1,-4.580221886
Ligand197,[O-]S(=O)(=O)c1ccc(/N=N/c2c(C(=O)[O-])[nH]n(c3ccc(S(=O)(=O)[O-])cc3)c2=O)cc1,1,-4.579487242
Ligand198,O=C(c1ccc(cc1O)N)[O-],1,-4.578611135
Ligand199,[C@@H](c1ccc(c(O)c1)O)(CN)O,1,-4.5767394910000005
Ligand200,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1,-4.5752682039999995
Ligand201,CC(C(=O)O)(Cc1cc(c(cc1)O)O)N,1,-4.570243652
Ligand202,CCC(=O)c1cc2c(cc1)Sc1c(cccc1)N2CCCN(C)C,1,-4.561839555
Ligand204,Oc1c(cc(c2cccnc12)Cl)Cl,1,-4.5572286769999995
Ligand205,OC(c1cccs1)(c1cccs1)C(=O)OC1CC2CCC(C(N2C)C1)(C)C,1,-4.550611015
Ligand206,[C@H]12CC=C[C@@H]2c2c(N[C@@H]1c1c(cc3OCOc3c1)Br)cccc2,1,-4.546291643
